"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"Y1";"Crystal_SMD_TXC_7M-4pin_3.2x2.5mm";1;"40MHz";;;
2;"U5";"RFM95W";1;"RFM95";;;
3;"AE1";"ANT2.4";1;"ANT2.4";;;
4;"U4";"SOIC-8-208";1;"FLASH";;;
5;"Y2";"Crystal_SMD_MicroCrystal_CC7V-T1A-2pin_3.2x1.5mm";1;"32.768KHz";;;
6;"AE2";"ANT868";1;"ANT868";;;
7;"C19,C13,C24,C25";"C_0603";4;"0.1uF";;;
8;"UFL1,UFL2";"COAXIAL_U.FL-R-SMT-1";2;"UFL";;;
9;"U3";"UQFN-48-1EP_6x6mm_Pitch0.4mm";1;"ESP32";;;
10;"L1,L2";"R_0603";2;"2.2uH";;;
11;"SW2";"PTS820";1;"PRG";;;
12;"SW1";"PTS820";1;"RST";;;
13;"P2,P1";"Pin_Header_Straight_1x16_Pitch2.54mm";2;"CONN_01X16";;;
14;"C4,C2";"CP_Tantalum_Case-A_EIA-3216-18_Reflow";2;"10uF";;;
15;"C3,C1";"CP_Tantalum_Case-A_EIA-3216-18_Reflow";2;"4.7uF";;;
16;"R1,R2,R4";"R_0603";3;"12K";;;
17;"U1,U2";"SOT-23-5";2;"LM3671";;;
18;"C5,C6";"C_0603";2;"1nF";;;
19;"R3,R5,R7";"R_0603";3;"470R";;;
20;"REF**,REF**,REF**";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
21;"C7,C8";"C_0603";2;"22pF";;;
22;"C9";"C_0603";1;"3.3nF";;;
23;"C10";"C_0603";1;"10nF";;;
24;"R6";"R_0603";1;"20K";;;
25;"C11";"C_0603";1;"100pF";;;
26;"C12,C16,C26";"C_0603";3;"1uF";;;
27;"C14";"C_0603";1;"2.4pF";;;
28;"C15";"C_0603";1;"3.9pF";;;
29;"L3";"R_0603";1;"2.7nH";;;
30;"C17,C18,C27";"C_0603";3;"10uF";;;
31;"C20,C21";"C_0603";2;"270pF";;;
32;"C22,C23";"C_0603";2;"15pF";;;
33;"D1";"LED_0603";1;"LED";;;
